JobTitle,DepartmentRaw,Location,Visa,YoE,DepartmentClean
Software Engineer 3,Was laid-off 5 days before start-date :(,MPK,Yes,1-3,Engineering
Vertical Strategy Lead,Sales strategy,Bay Area & Boston,No,10+,Sales
Administrative Business Partner,Consumer Marketing,"San Jose, CA",No,1-3,Marketing
Quantitative ux researcher,Research,Providence Rhode Island,No,4-6,Data Science
Data Scientist,AI/ML,San Francisco,Yes,4-6,Other
Data Scientist,Product,"Menlo Park, CA",Yes,4-6,Product
Technical Recruiting,Recruiting,Singapoir,No,7-10,Recruiting
Internal Mobility Specialist,Recruiting,"Atlanta, GA",No,4-6,Recruiting
Partner Manager,"Partnership, Product",Singapore,Yes,10+,Product
Engineering Manager,Engineering,New York,No,10+,Engineering
"Software Engineer, Machine learning Generalist",Tech,Seattle,Yes,7-10,Engineering
Product Design Leader,"AI, Product",East Coast,Yes,10+,Product
Software Engineer,Engineering (Media Validation & Video Infra),"Austin, TX",No,1-3,Engineering
Software Engineer,BootCamp,MPK,Yes,1-3,Engineering
Sourcer,HR Recruitment,Singapore,Yes,7-10,Recruiting
Technical Sourcer,Recruiting,"Seattle, WA",No,7-10,Recruiting
Recruiting Coordinator,Recruiting,New Jersey,No,1-3,Recruiting
Creative Shop Labs Producer,"Production, metaverse, virtual reality, augmented reality",Los Angeles,No,10+,Product
Sourcer,Recruiting - Finance & Accounting,"Fremont, CA",No,4-6,Recruiting
Recruiting Coordinator,Product Management,US - Anywhere,No,4-6,Recruiting
Global Field Sales Manager,Channel Services / Field Sales & Marketing,San Francisco Bay Area,No,10+,Marketing
Product Manager,Product Management,New York,No,10+,Product
Business Development Manager,Ads Partnership & Product Partnership,Singapore,Permanent resident in Singapore,10+,Product
Recruiting Coordinator,Recruiting,US - Anywhere,No,4-6,Recruiting
Software Engineer,Backend Engineering,"Seattle, USA",Yes,4-6,Engineering
Technical Sourcer,HR/Recruiting,"San Jose, CA",No,4-6,Recruiting
Meta Fintech Help Investigator,Product,Philippines,Depends whether local or not,4-6,Product
"Manager, Product Analytics",Analytics,Santa Clara,Yes,10+,Data Science
Global product marketing manager,Marketing,NYC,No,7-10,Marketing
Software Engineer,Engineering,Seattle,Yes,1-3,Engineering
Business Operations Associate,Revenue Operations,New York & New Jersey,No,7-10,Operations
Recruiting Manager,"Software Engineering , strategy, analytics, Human capital",Ohio,No,10+,Recruiting
Software Engineer,Engineering,Seattle,Yes,1-3,Engineering
University Technical Recruiter,Recruiter,Dallas,No,4-6,Recruiting
Program manager,"Ops, regulations, compliance, policy",NYC,No,7-10,Other
Software engineer,Engineering,New York,No,10+,Engineering
software engineer,engineering,mpk,Yes,4-6,Engineering
Software Engineer,Engineering: Backend / Mobile / ML Infra,"San Diego, CA; Remote",No,10+,Engineering
Content Designer,Product,Singapore,No,10+,Product
Software Engineer,Engineering,"Bay Area, open to moving",Yes,4-6,Engineering
Recruiting sourcer,RL-SWE,Arizona,No,10+,Recruiting
Technical Sourcer,RL SWE Engineering (AR/VR),"Issaquah, WA",No,7-10,Recruiting
Technical Sourcer,"Software Engineering: AR/VR, Embedded, etc.",Remote,No,10+,Recruiting
Senior Technical Sourcer,HR,"Vancouver, BC",No,10+,Recruiting
Senior Software Engineer,"Data infra, product engineering",Seattle,No,7-10,Engineering
Full Stack Developer,Engineering,India,Yes,4-6,Engineering
Systems Architecture Engineer,IDC Engineering,Bay area,No,10+,Engineering
Recruiter,"Engineering, IT, Product, Finance, Marketing, HR, Customer Success, Leadership","Sacramento, CA",No,7-10,Recruiting
"Content Marketing, Media Partnerships",Marketing,Los Angeles,No,10+,Marketing
Technical Sourcer,Talent Acquisition,Hong Kong,No,7-10,Recruiting
Senior Machine Learning Engineer,"Product, Engineering",San Jose,US Citizen,7-10,Engineering
Data Analyst,Product,Austin,Yes,7-10,Product
Senior Strategic Sourcing Manager,"Operations, Partnerships",San Francisco Bay Area,No,10+,Recruiting
Senior Technical Program Manager,Engineering AI/ML,"San Francisco Bay Area, Remote",No,10+,Engineering
Internal Communications Partner,Infra Data Centers,"Santa Monica, California",No,7-10,Engineering
(Group) Product Manager,Product,"Singapore, but flexible to move to EMEA/London, India, Canada.",Yes,10+,Product
Software Engineer,"Engineering - pipeline, perf, real time",Seattle WA,No,10+,Engineering
Business Education Program Manager,Project management,Singapore,No,7-10,Other
"Executive Producer, Oculus Studios","Production (games, internal development, studio management)",San Francisco Bay Area,No,10+,Product
Recruiting Coordinator,HR,Singapore,No,1-3,Recruiting
Staff UX Researcher,Product,"Bay Area, CA (open to relocating)",No,10+,Product
Product Experience Analyst,Product Analytics,San Francisco Bay Area,No,7-10,Data Science
VP of Genderfluid Relations,"Not quite sure, but I'm important","Menlo Park, CA",No,10+,Other
Head of Ads Customer Support Strategy - Americas Enterprise & Global Small Business,Customer Support Operations,Bay Area,No,10+,Operations
Data Engineer,Marketing Analytics,Chicago,Green Card/Permanent Resident,10+,Data Science
Technical Sourcer,Engineering,"New York City, NY",No,4-6,Recruiting
"German Language Manager, Reality Labs",Localization,Germany,No,7-10,Other
Recruiting Knowledge Management Partner,Recruiting Operations,Singapore,No,4-6,Recruiting
Software Engineer,Engineering,Bay area,Yes,10+,Engineering
data engineer,engineering,seattle,Yes,4-6,Engineering
Developer Operations Platform Investigator,Product Operations,Singapore,Yes,7-10,Product
"Global Program Manager, Contingent Workforce",Contingent Labor Management,"Dallas, Texas",No,10+,Other
Technical Recruiter,Recruiting,San Francisco Bay Area / Alameda Aounty,No,10+,Recruiting
Technical Sourcing Lead,Sourcing / recruiting,NYC,No,4-6,Recruiting
Product Marketing Manager,Product/ Marketing,Seattle,No,7-10,Marketing
Software Engineer,Research,"Seattle, WA",Yes,1-3,Data Science
Research data scientist,Infrastructure strategy,New York,Yes,1-3,Engineering
Recruiting Sourcer,Business Technology,Hong Kong,No,7-10,Recruiting
"Technical Sourcer, Machine Learning",Recruiting,SF Bay Area,No,4-6,Recruiting
Product Marketing Manager,Product,San Francisco,No,7-10,Product
Software Engineer,engineering,Singapore,No,1-3,Engineering
Software Engineer iOS,Engineering,Los Angeles,No,4-6,Engineering
Technical Sourcer,Recruiting,"Tampa, FL",No,4-6,Recruiting
Audio Producer,Sound Design supporting Reality Labs,"Seattle, WA",No,4-6,Design
Product Technical Program Manager,Product,"Singapore, Open",Yes,10+,Product
Product Manager,Product,Austin,No,1-3,Product
Strategy & Operations Lead,Business Strategy,Delhi NCR,No,10+,Operations
Technical Program Manager,Product and engineering,New York,No,10+,Engineering
Staff Software Engineer,Infra - Front-end data visualization,Seattle / Bellevue / Remote,No,10+,Engineering
University Recruiter- Software Engineering,Recruiting,San Francisco/ The Bay Area,No,7-10,Recruiting
Technical Recruiter,SWE - E4 level and Career Pathways Programs - Recruiting,"Burnaby, BC, Canada",No,4-6,Recruiting
Product Designer,AR/VR Product Design,Arizona/Seattle,No,7-10,Design
Software Engineer,"bootcamp, was hoping to go into security",seattle,No,1-3,Engineering
Marketing Manager,Marketing,"Delhi NCR, India",No,10+,Marketing
Program Manager,"Content, News, Operations, Program Management","Delhi, India",No,7-10,Operations
QA Engineering Lead - Sound,Product Quality and Experiences,SF Bay Area,No,10+,Product
Sourcer,Business Recruiting,Singapore,No,7-10,Recruiting
Software Engineer,Engineering,"Bay Area, CA",Yes,7-10,Engineering
technical sourcer,recruiting,Singapore,No,4-6,Recruiting
Software Engineer,Engineering,"Remote, United States/Open To All",US Citizen,1-3,Engineering
Producer - Project Manager,Game art production,Vietnam,Yes,4-6,Product
Systems Project Manager,product strategy,Singapore,No,4-6,Product
Product,Product,Australia,No,1-3,Product
"PhD Recruiter, Reality Labs",ETR RL,"Nashville, TN",No,7-10,Recruiting
Strategic Partner Manager,Creator/Media Parterships,Mumbai,No,10+,Other
Program Manager,Operations,San Francisco,No,4-6,Operations
SWE,engineering,New York City,No,1-3,Engineering
University Recruiter - Software Engineering,Recruiting,Greater Seattle Area,No,4-6,Recruiting
Thermal Engineer,Hardware Engineering,Bay Area,Yes,4-6,Engineering
Client Solutions Manager,Sales,Singapore,Yes,7-10,Sales
Product Strategy & Marketing,Product Marketing Manager,San Francisco Bay Area,No,10+,Marketing
Enterprise Support Technician,IT / Engineering,Redmond WA,No,7-10,Engineering
"Head of Quality Operations, APAC","Trust and Safety, Vendor Support, Operations",Singapore,Yes,10+,Operations
Software Engineer,Core Systems,Bay Area,No,7-10,Engineering
Data Scientist/Data Analytics/Data Engineer,Engineering,"US, UK, Canada",Yes,1-3,Engineering
Technical Sourcer,Privacy Programs,"Los Angeles, CA",No,4-6,Recruiting
"Head, News Partnerships, South East Asia","strategic partnerships, programs, business development",Singapore,No,10+,Partnerships
Product Designer,Design,Bay Area,No,7-10,Design
Creative Agency Partner,Sales - Agency,Bangkok Thailand or Melbourne / Sydney Australia,No,10+,Sales
Leadership Sourcer RL HW,Hardware,Redmond WA,No,10+,Recruiting
Software Engineer,Engineering,"New York, NY",No,1-3,Engineering
Internal Mobility Specialist,Internal Mobility - Meta Tech,Remote / MPK,No,1-3,Other
Product Development Engineer,AR Hardware Engineering,"Seattle, WA",No,4-6,Engineering
Senior Software Engineer-E7,Engineering,"San Mateo, CA",No,10+,Engineering
Regulatory Escalations Specialist,Regulatory Risk Operations,Singapore,No,7-10,Operations
"Business Development Lead, Immersive Media",Business Development,California,No,10+,Other
Business Engineer,Engineering,California,Yes,7-10,Engineering
Technical Program Manager,Engineering,Seattle,Yes,7-10,Engineering
AI Technical Sourcing Recruiter,Technical Sourcing / Recruiting Spec AI,"Miami, FL",U.S. Citizen,7-10,Recruiting
Solution Architect - Deep learning (Edge AI),Engineering,India,No,1-3,Engineering
Software Engineer,Engineering,"Bayarea, CA",Yes,4-6,Engineering
Software Engineer,Engineer,New York City or Remote,No,1-3,Engineering
Front-End Engineer,Engineering,New York City,Yes,1-3,Engineering
Sourcer,Technical survey,Bay area,No,1-3,Recruiting
Research Scientist,FB Reels - Creation relevance,"Bellevue, WA",Yes,1-3,Data Science
Production Engineer,Engineering,"London, United Kingdom",Yes,1-3,Engineering
Product Marketing Manager,"Product Strategy, Product Marketing",San Francisco,Yes,10+,Marketing
Technical Program Manager,Hardware Engineering,US/China/Taiwan,No,10+,Engineering
EMEA Head of Partner Solutions,Partnerships,Dublin,No,10+,Partnerships
Internal Recruiting Specialist,Recruiting/People,London,No,7-10,Recruiting
Candidate Channels Specialist,Recruiting,Singapore,No,1-3,Recruiting
Recruiting Coordinator Lead,Talent Acquisition,Santa Cruz,No,7-10,Recruiting
Talent Sourcing lead,Recruiting,Singapore,Can be places on LOC,10+,Recruiting
Security Engineer,Offensive Security,"Broomfield, CO",No,4-6,Engineering
Software Engineer,Engineering,"Toronto, Ontario, Canada",Yes,1-3,Engineering
Software Engineer,Engineering,San Francisco Bay Area,Yes,10+,Engineering
Technical Program Management,Business Product Engineering,Bay Area,No,7-10,Engineering
Software Engineer,Full-stack web dev / ML,"Los Angeles, CA",No,1-3,Engineering
"Head of Public Policy Thailand, APAC Policy Team",Public Policy,"Bangkok, Thailand",Yes,10+,Other
Head Model Engineer - Contract,Engineering,Bangalore,No,10+,Engineering
Product Development Lead - EV,Product Engineering,"Bhoshdi, Pune",No,10+,Engineering
Technical Sourcer,Recruiting /Tech Recruitment / Core SWE,Singapore / India,Visa needed other than India,10+,Recruiting
Data Engineer,Engineering (Ads),Bay Area,Yes,7-10,Engineering
Business Development/Business Enterprise,Sales/Marketing/Business Development,"Mathura, Uttar Pradesh","Yes, If outside India",1-3,Marketing
Vertical Marketing Lead - CPG,Marketing (GBM),San Francisco,No,10+,Marketing
Director,Product Design,New York,No,10+,Design
Art Lead,3D environment art creation for AR/VR,"Seattle, WA",No,10+,Other
Product Designer,Product,"Los Angeles, CA",No,7-10,Product
Senior Client Partner,"Marketing, Media,","London, UK",No,7-10,Marketing
business analyst,Ceo Office,Europe,No,1-3,Other
Enterprise Engineer,Software Engineering,London,Yes,1-3,Engineering
Incident Analyst ( Fraud analyst),operations,Dublin,No,7-10,Operations
Strategic Partner Manager,Gaming Partnerships / Facebook Gaming,Singapore,No,7-10,Partnerships
Strategic Partner Manager,Partnerships,Singapore,Yes,10+,Partnerships
Technical Sourcer,Enterprise Engineering,London,No,4-6,Recruiting
Human Resources Business Partner,Human Resources,Nigeria,Yes,7-10,HR
"Creative Strategy Director, EMEA",Global Business Group (creative shop),London,No,10+,Other
Software Engineer,Engineering,"Palo Alto, CA",Yes,1-3,Engineering
"Program Manager, News Programs",Partnerships,New York (but open to Asia),Yes,10+,Partnerships
"Product Policy Manager, Stakeholder Engagement","Content Policy, Public Policy","Washington, DC",No,10+,Product
Technical Sourcer,Recruiting,SF Bay Area/Remote,Yes,4-6,Recruiting
Strategic Partner Manager,"Partnerships, Regional Development, Products Adoption, Developers Ecosystem","Berlin, Germany",No,1-3,Product
"Head Of Quality Operations, APAC","Vendor Operations, Trust and Safety, Business Operations and Strategy, Program Management",Singapore,Yes,10+,Operations
Marketing Business Planning & Operations Lead,Marketing,London,No,7-10,Marketing
Partner Solutions Manager,Partnerships,Dublin,No,10+,Partnerships
Enterprise Engineering,Engineering,Dublin Ireland,No,7-10,Engineering
Government and Social Impact Partnerships,Marketing / Policy,London,No,10+,Marketing
Client Solutions Manager,Sales,London,Will be neded,4-6,Sales
Strategic Partner Manager,"Account Management, Media and Creator Partnerships",London/Munich,No,7-10,Partnerships
Project manager,product,Kenya,No,1-3,Product
Client Solutions Manager - ecommerce,Sales and Marketing,London,No,10+,Marketing
Market Specialist,Operations,Dublin,No,1-3,Operations
Technical Recruiter,HR,London,Yes,7-10,Recruiting
Product Marketing Manager,Product,São Paulo,No,10+,Product
Product Marketing Manager,Marketing,"São Paulo, Brazil",No,10+,Marketing
SWE,operations,US,No,10+,Operations
Production Engineer,Engineering,London,Yes,10+,Engineering
Account Manager,Sales,Singapore,Yes,4-6,Sales
Technical Sourcer,Engineering Recruitment,London/Remote,No,4-6,Recruiting
Communications Manager,Communications,"Bay Area, CA",No,10+,Communications
Recruiter,"Business/Corporate, some tech","Reading, Remote, London",No,10+,Recruiting
Technical Sourcer,RL SWE Recruiment,"Toronto, Canada",No,10+,Recruiting
"Strategic Sourcing Manager, Supplier Diversity","Finance, Procurement, DEI",New York,No,10+,Recruiting
Tech Recruiter,Recruitment,"London, UK",Yes,7-10,Recruiting
Partnership manager,product/BDM/sales/project manager,Russia,Yes,7-10,Product
Risk Operations Lead,"Risk, Compliance, Operations",Ireland,No,10+,Operations
Public Policy Manager,Policy,"Washington, DC",No,7-10,Other
Business Engineer,Engineering,"Singapore, open to relocate",Yes,10+,Engineering
Community Manager | Community Building,Support | Customer Success,Bangalore,Yes,4-6,Other
Program Manager / Lifestyle Manager,"Events, Partnerships, Marketing","London, UK",No,10+,Marketing
QA Engineering Lead,Engineering and Product,London,No,10+,Engineering
"Content Strategist, Business Help and Education",Business/product.,London,Yes,7-10,Product
Technical Sourcer,UX Research,"Atlanta, GA",No,7-10,Recruiting
Product Manager,Product,"Austin, Remote",No,7-10,Product
Technical Sourcer,Engineering,Atlanta,No,4-6,Recruiting
Software Engineer,Bootcamp,London,Yes,1-3,Engineering
Client Partner and Agency Partner,Sales,Toronto,No,10+,Sales
Software Engineer,Product,"Seattle, WA",Yes,1-3,Product
DEI Recruiting Program Management,Recruiting,"Miami, FL (Remote)",No,10+,Recruiting
Software Engineer,Engineering,"London, UK",Yes,1-3,Engineering
Senior Technical Recruiter,Engineering,"Rochester, NY (Remote)",No,10+,Recruiting
Software Engineer,Bootcamp,London,Yes,1-3,Engineering
Data Scientist,Ads,London,Yes,1-3,Other
Software Engineer,Engineering,London,Yes,1-3,Engineering
Software Engineer,Engineering,"London, UK",Yes,4-6,Engineering
Machine Learning Engineer,Engineering,"London, United Kingdom",Yes,1-3,Engineering
Technical Program Manager,Engineering,"San Francisco bay Area, Seattle",No,10+,Engineering
Software engineer,Engineering,London,Yes,1-3,Engineering
Software Engineer,Full Stack Web Engineering,"NYC, NY",No,1-3,Engineering
Technical Sourcer,Recruiting,"Washington, DC",No,10+,Recruiting
Technical Recruiter,Recruiting,"Seattle, WA",No,10+,Recruiting
Business Product Marketing Lead,"Product, Strategy, Product Marketing",London,Eligible to work in the UK,10+,Marketing
Enterprise Support Technician,Engineering,"Fremont, CA",No,1-3,Engineering
"Global Marketing Lead, Regulation & Integrity - Media Partnerships",Communications/Policy/Marketing,"Washington, DC",No,10+,Marketing
Emerging Business Lead,Analytics and Insights,Los Angeles,No,10+,Data Science
Technical Sourcer,AR/VR Graphics and Gameplay Engineering,NY,No,7-10,Recruiting
Emerging Business Lead,Analytics and Insights,Los Angeles,No,10+,Data Science
Technical Sourcer,Recruiting,San Francisco Bay Area,No,4-6,Recruiting
Executive Assistant,Admin/project management/Web3,London/Remote,No,10+,Other
Client Partner,Sales,Toronto,No,10+,Sales
Business Marketing Manager,Marketing,"Warsaw, Poland",No,4-6,Marketing
Global Culture Solutions Lead,HR,London,No,7-10,HR
Technical Sourcer,Engineering,Miami,No,7-10,Recruiting
Enterprise Support Tech,Enterprise Engineering,Austin,No,1-3,Engineering
"Strategic Partner Manager, Researchers",Research Partnerships,New York,No,7-10,Partnerships
UX Researcher (Quant),Product Research,"Durham, NC",No,1-3,Product
Product Manager,Product,Los Angeles,Yes,7-10,Product
Software Engineer,Engineering,"London, UK",Yes,1-3,Engineering
Brand Marketing and Consumer Communications,Communications,"Orlando, FL",No,10+,Communications
"Global business marketing, business messaging",Product marketing,"Fremont, CA",No,10+,Marketing
Consumer brand product marketing,"Brand, product, content, consumer marketing","Mumbai, Gurgaon, bangalore",No,10+,Marketing
Data Engineer,Marketplace,Bay Area,Yes,4-6,Marketing
Staff Software Engineer - E6,"Tech lead, Mobile Performance Engineering","New York, NY",No,10+,Engineering
Software Engineer,Software Engineering,Singapore,No,10+,Engineering
"Strategic Partnerships Manager, Research",Partnerships,New York,No,10+,Partnerships
Strategy and Operations Manager,"Product Management, Product Strategy, Product Marketing",San Francisco Bay area,Yes,10+,Marketing
Technical Solutions Consultant,Product,New York,No,7-10,Product
Production Engineer,Engineer,"London, United Kingdom",Yes,1-3,Engineering
Software Engineer,Engineering,New York City,Yes,1-3,Engineering
Production Network Engineer,Infra,San Francisco,No,10+,Engineering
Risk Operations,Financial Fraud and Risk within a Business,Glasgow,No,1-3,Operations
"Internal Recruiting Partner, EMEA",Recruiting - Global Product,London / Reading / Remote,No,10+,Recruiting
Internal Mobility Partner/ Recruiting Program Manager,Business,Austin TX,No,7-10,Recruiting
Staff Software Engineer,Engineering,NYC,Yes,7-10,Engineering
Product Marketing Management,Product Marketing,"Chicago, IL",No,4-6,Marketing
Enterprise Partner Manager,Partnerships,New York,No,10+,Partnerships
Data Scientist,Product Analytics,"Seattle, WA",No,7-10,Data Science
Operations documentation specialist,Operations,Egypt,No,4-6,Operations
Meta Fintech PM,Product,New York,No,10+,Product
Technical Sourcer,Recruiting,"Austin, Texas",No,7-10,Recruiting
Senior Recruiting Sourcer,Data Science,"Atlanta, Ga",No,7-10,Recruiting
"Product Marketing Manager, Content Partnerships","Product marketing, strategy, business operations",New York,No,10+,Marketing
Product Marketing Manager,Product,"Berkeley, CA",No,4-6,Product
Global Marketing Manager,Marketing,New York / Remote,No,7-10,Marketing
Product Marketing Marketing,Product,New York,No,7-10,Product
Technical Sourcer,"Recruiting ARVR, Software Development",California,No,4-6,Recruiting
Senior Data Scientjsr,Data Science,"Tampa, Fl",No,10+,Data Science
Supplier Master Data Analyst,P2P,New York,No,7-10,Other
Software Engineer,Engineering,"Austin, TX",No,7-10,Engineering
Technical Sourcer,"Engineering (AR/VR, AI and ML)","Dallas, TX or remote",No,10+,Recruiting
User Experience Research Lead,Product (UX research & strategy),SF Bay Area,No,10+,Product
Technical Program Manager,"Product, Program Management, Engineering",US/Remote,Yes,4-6,Engineering
Technical Recruiter,Software Engineering,NJ,No,10+,Recruiting
Leadership Recruitment Manager (L7),"Business (Sales/Partnerships, SaaS, Commerce, Revenue Ops, Marketing, PMM, Exec Ops)",Greater New York Area,No,10+,Recruiting
Product Marketing Manager,Consumer Marketing,Seattle,No,10+,Marketing
Global recruiting manager,Tech recruiting,TLV,No,10+,Recruiting
"Data Scientist (however looking for Data Engineer, Analytics Engineer roles)","Product, Engineering",New York City,Yes,4-6,Engineering
Analyst - Business Products Marketing Science,Media Partnerships,Bay Area / Remote / Other,No,10+,Partnerships
Data Engineer,"Product, Analytics, Data Engineering",Remote / Los Angeles,No,7-10,Engineering
Consumer Product Marketing Manager,Product,NYC,No,7-10,Product
University Recruiter,Recruiting/HR/DEI,"New York, NY",No,7-10,Recruiting
Software Engineer,engineering,Menlo Park,Yes,10+,Engineering
Content Designer,Design,"Edmonton, Canada",No,7-10,Design
QA Engineering lead - Sound,"product, QA, Engineering, Design",SF Bay Area,No,4-6,Engineering
Account Manager,Sales,Singapore/Sydney,Yes,4-6,Sales
Partner Manager,Sales; brand partnerships helping agencies grow and scale their business,"Austin, TX",No,4-6,Sales
Software Engineer,Engineering,New York,Yes,1-3,Engineering
Compliance Operations Investigator - L2B,Compliance - Meta Financial Technologies,Dublin,No,4-6,Operations
AR Technical Artist,Design,Vancouver / Remote,No,7-10,Design
"Strategic Partnerships Lead, Public Sector & Nonprofit Partnerships - AmericasStrategic Partnerships Lead, Public Sector & Nonprofit Partnerships - Americas",Partnerships,Sao Paulo,No,10+,Partnerships
"Strategic Partnerships Lead, Public Sector & Nonprofit Partnerships - Americas",Partnerships,Sao Paulo,No,10+,Partnerships
Software Engineer,Product,New York,Yes,1-3,Product
Technical Recruiter,HR/Recruiting,"Seattle, Wa",No,7-10,Recruiting
Production Engineer,Network Engineering,"Columbia, SC",No,10+,Engineering
Program Manager,"Interview Experience, ETR SWE","Atlanta, GA",No,4-6,Other
Finance Recruiter,Recruiting,"Denver, CO",No,10+,Recruiting
HR Generalist,Human Resources,Austin / or remote,No,7-10,HR
Engineering Manager,Engineering,Bay Area,No,10+,Engineering
Software Engineer,Engineering,New York,Yes,1-3,Engineering
Software Engineer,Development- android,Seattle,Yes,4-6,Engineering
Tech Recruiter,HR,Austin,No,7-10,Recruiting
Product Designer,Design,"New York, NY",No,10+,Design
Lab Manager,Product and R&D,Seattle,No,4-6,Product
"Sourcer, Core Business",Recruiting,Miami,No,7-10,Recruiting
"Strategic Partnerships Manager, Gaming","Gaming Creators / Streaming, VOD, Reels",Seattle,No,7-10,Partnerships
Intellectual Property Specialist,"Legal and Premier Operations, Global Operations",Dublin,Yes,4-6,Operations
Product Experience Analyst,"Analytics, Product Quality","San Francisco, CA","Yes, H1B1 (do not need H1B sponsorship)",1-3,Data Science
Internal Mobility Recruiter/Partner,"Product, sales, partnership, business, marketing, data engineering, design","New Jersey, Nee York, Remote",No,10+,Recruiting
Central Social Impact Lead,Business Product Marketing,San Francisco,No,10+,Marketing
"Product Marketing Manager, Ad Products",Product,San Francisco,No,4-6,Product
Data Scientist on VR Onboarding + Education,Data Scientist,Los Angeles / Remote,No,4-6,Other
"Program Manager, New Products","Program Management, Engineering",New York,No,7-10,Engineering
"Public Policy Manager, Russia",Public Policy,Berlin,Yes,4-6,Other
Technical Sourcer,Recruiting,Chicago,No,4-6,Recruiting
Head of Operations,"Product Operations, Content, Localization",San Francisco Bay Area,No,10+,Product
Software Engineer,Engineering,Menlo Park,Yes,10+,Engineering
Partner Manager,Sales,Chicago,No,4-6,Sales
"Data Analyst, Media & Community Partnerships",Data Analytics,"New York, NY",No,7-10,Data Science
Software Engineer,Engineering/Infra,"New York, NY",No,1-3,Engineering
Strategist,Marketing,"New York, NY",No,7-10,Marketing
Technical Sourcing Recruiter,Human Resources,"Seattle, WA",No,4-6,Recruiting
Sourcing Specialist,Tech. Sourcing/Recruiting,Austin Texas,I am a citizen of US,1-3,Recruiting
LATAM University Recruiting & Programs Manager,"Human Resources, Talent Acquisition","Brazil, Remote",Yes,10+,Recruiting
Product Designer,Product Design,New York City / Connecticut,No,10+,Design
Sourcing Specialist,Recruiting,San Francisco,No,7-10,Recruiting
composer/sound designer,audio/music,"SF Bay Area, CA",No,10+,Design
"Manager, New Products",Product,"Austin, TX",No,10+,Product
Senior Product Marketing Manager,Product,London,Optional - I can be on High Potential Visa,7-10,Product
Integrated Marketing Manager,Marketing,Open,No,10+,Marketing
"Training Specialist, Learning Operations",Learning,"Dublin,Ireland",No,4-6,Operations
"Language Manager, Bengali",Localisation/Internationalisation,India,No,10+,Other
Regional Product Marketing,Product Marketing & Ops,Mexico City,No,10+,Marketing
Risk Operations Investigator,Operations,Ireland,Yes,4-6,Operations
"Senior Manager, Data Science",Data Science,Los Angeles Area,No,10+,Data Science
Research Scientist,Materials/Optics/Hardware,Seattle,No,4-6,Data Science
Product Manager,Product,"San Francisco, CA",No,10+,Product
Research Scientist,Reality Labs,California,Yes,4-6,Data Science
Machine Learning Engineer,engineering,"Seattle, WA",No,7-10,Engineering
Data Scientist,Product Analytics,"Bay Area; Open to UK/EU, Singapore, Tokyo",Yes; H1B/H1B1 for USA,7-10,Data Science
Internal Mobility Recruiter,Recruiting,Bellevue/Seattle,No,10+,Recruiting
Supplier Master Data Analyst,Source-to-pay,Remote,No,1-3,Other
Software Engineering Manager,"Software Engineering, Connectivity Infrastructure","Menlo Park, CA",No,10+,Engineering
"Content Marketing, Media Partnerships",Marketing and Advertising,Based in LA. Heading to NYC 2023,No,4-6,Marketing
Technical Sourcer,Recruiting / Sourcing,Los Angeles (willing to relo),No,4-6,Recruiting
Head of Merchandising & Programming,"Product, Strategy, Product Marketing","San Francisco, CA",No,10+,Marketing
Internal Communications Manager,Communications,San Francisco,No,7-10,Communications
Data Scientist,product,"Seattle, WA",Yes,1-3,Product
Senior Software Engineer,Engineering,Seattle,Yes,10+,Engineering
Digital Strategist,Web Marketing,Los Angeles,No,7-10,Marketing
Data scientist,Product analytics,Los angeles,No,4-6,Data Science
Product Manager,Product,"New York, NY","Yes, I would need sponsorship (e.g. H1B, O1, or any visa)",4-6,Product
Senior UX Researcher,UX Research,New York/Remote,No,7-10,Data Science
Sourcer,Recruiting,Israel,No,4-6,Recruiting
Recruiting Director,Recruiting,"Austin, Texas",No,10+,Recruiting
Research Scientist,Engineering,Seattle,Yes,1-3,Engineering
"Technical Recruiter, Analytics",Data Science Recruiting,Arkansas- Willing to relocate or work remote,No,10+,Recruiting
"Partner Marketing Manager, Content and Creator Partnerships","Partnerships, Marketing (Brand Partnerships, Strategic Partner Manager, Partner Marketing)",Bay Area or Los Angeles,No,10+,Marketing
Product Experience Manager,Product,Utah / Remote,No,4-6,Product
Software Engineer,Engineering,San Francisco Bay area,Yes,7-10,Engineering
Technical Recruiter,Technical Recruiting,Denver,No,7-10,Recruiting
Software engineer,engineering,Menlo Park,Yes,4-6,Engineering
Technical Sourcer,SWE Recruiting,Chicago,No,4-6,Recruiting
"Lead, Knowledge Management",Product,"Austin, TX",No,10+,Product
Recruiter,HRBP,"Irvine, CA",No,7-10,Recruiting
Communications Lead,Integrity Communications,San Francisco/Bay Area,No,10+,Communications
Senior Software Engineer,Engineering,Seattle,Yes,7-10,Engineering
"Business Planning & Operations, Media Content & Community Partnerships",SP&O,"Los Angeles, CA, USA",No,10+,Partnerships
Product Designer,Design,New York,No,4-6,Design
Recruiting Coordinator,Recruiting,Los Angeles,No,4-6,Recruiting
Software Engineer,engineering,"Denver, CO - Remote",No,7-10,Engineering
SENIOR MANAGER CX INNOVATION & BUSINESS EXCELLENCE,"CUSTOMER EXPERIENCE, INSIGHTS, PRODUCT MANAGEMENT, PROCESS & TOOLS, QUALITATIVE / QUANTITATIVE RESEARCH, PROGRAM/PROJECT MANAGEMENT",BANGALORE / BENGALURU,No,10+,Product
Senior Data Scientist,Data Science / Product Analytics,"New York, NY",No,7-10,Data Science
